,,,,,BI,BI,BI,PD,PD,PD,PIP,PIP,PIP,COMP,COMP,COMP,COLL,COLL,COLL,BI,PD,PIP,COMP,COLL,BI,PD,PIP,COMP,COLL,BI,PD,PIP,COMP,COLL,,,BI,PD,PIP,COMP,COLL,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FL,2011.0000000000,Q1,2011 Q1,1961538.0000000000,333444380.0000000000,18812.0000000000,2024976.0000000000,208681596.0000000000,74475.0000000000,2010850.0000000000,349180082.0000000000,60345.0000000000,1678944.0000000000,64204641.0000000000,85187.0000000000,1615524.0000000000,236711746.0000000000,82736.0000000000,0.0095904336,0.0367782137,0.0300096974,0.0507384404,0.0512131049,17725.0893046991,2802.0355287009,5786.3962548678,753.6905983307,2861.0489508799,169.9912925470,103.0538613791,173.6480005968,38.2410854680,146.5231999029,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8011572748,0.1988427252,4505.6177758916,25.2000000000,28.9000000000,#REF!,0.9052335419,0.0947664581,0.0495000044,0.0843586166,0.8962324259,11.6925000000,0.0980000000,833820.1815052280,446872.9677167680,22.0537019828,4.8327758870,1.9484458983,0.0031500000,0.0366759952,Tort,Pure Comparative Fault,C,13882423.0000000000,269708.1920000000,51.4720109058
Georgia,GA,2011.0000000000,Q1,2011 Q1,1163018.0000000000,160631530.0000000000,13303.0000000000,1163018.0000000000,127482114.0000000000,45534.0000000000,0.0000000000,0.0000000000,0.0000000000,868513.0000000000,46493842.0000000000,40110.0000000000,825769.0000000000,140323149.0000000000,44420.0000000000,0.0114383440,0.0391515866,0.0000000000,0.0461823830,0.0537922833,12074.8349996241,2799.7126103571,0.0000000000,1159.1583644976,3159.0083070689,138.1161168615,109.6131908535,0.0000000000,53.5326955382,169.9302698454,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7485890635,0.2514109365,2896.8305313896,26.4000000000,28.6000000000,#REF!,0.8387368273,0.1612631727,0.0424665178,0.0528125379,0.8991993680,10.0275000000,0.1005833333,916426.0125527750,157639.1535287790,12.9133680767,2.0992037533,1.8784363332,0.0047900000,0.0351947195,Tort,Proportional Comparative Fault 50%,N,6505690.0000000000,261558.1700000000,24.8728227453
Hawaii,HI,2011.0000000000,Q1,2011 Q1,138115.0000000000,7932986.0000000000,268.0000000000,138115.0000000000,13340980.0000000000,4960.0000000000,138115.0000000000,6974824.0000000000,2165.0000000000,104340.0000000000,3814166.0000000000,2274.0000000000,100751.0000000000,16188077.0000000000,6058.0000000000,0.0019404120,0.0359121022,0.0156753430,0.0217941346,0.0601284354,29600.6940298507,2689.7137096774,3221.6277136259,1677.2937554969,2672.1817431496,57.4375411795,96.5932737212,50.5001194657,36.5551658041,160.6741074530,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8036103345,0.1963896655,2397.4221892480,25.5000000000,27.8000000000,#REF!,0.2907529240,0.7092470760,0.0289592611,0.0562929162,0.8134177971,0.0000000000,0.0678333333,1473738.5051786300,479200.6910036380,21.3690536862,3.9350792139,0.8693294507,0.0010103842,0.0464912044,Tort,Proportional Comparative Fault 51%,C,911660.0000000000,9614.5450000000,94.8209197627
Idaho,ID,2011.0000000000,Q1,2011 Q1,172458.0000000000,16162151.0000000000,1277.0000000000,172458.0000000000,11936207.0000000000,4766.0000000000,0.0000000000,0.0000000000,0.0000000000,128920.0000000000,5574554.0000000000,11114.0000000000,121341.0000000000,15320817.0000000000,4936.0000000000,0.0074047014,0.0276357142,0.0000000000,0.0862085014,0.0406787483,12656.3437744714,2504.4496433068,0.0000000000,501.5794493432,3103.8932333874,93.7164469030,69.2122545779,0.0000000000,43.2404126590,126.2624916557,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4090648698,0.5909351302,1990.1076747558,18.9000000000,23.0000000000,#REF!,0.8449479830,0.1550520170,0.0578177699,0.0617246253,0.8725144895,6.1725000000,0.0831666667,554318.4780875550,107353.1944231380,30.8056311213,7.8190458010,2.3693888037,0.0084500000,0.0413746134,Tort,Proportional Comparative Fault 50%,N,1083992.0000000000,99484.9900000000,10.8960356733
Illinois,IL,2011.0000000000,Q1,2011 Q1,1447364.0000000000,146481763.0000000000,9736.0000000000,1447364.0000000000,145272805.0000000000,53068.0000000000,0.0000000000,0.0000000000,0.0000000000,1281777.0000000000,50881487.0000000000,44789.0000000000,1218197.0000000000,237607888.0000000000,76023.0000000000,0.0067267115,0.0366652756,0.0000000000,0.0349428957,0.0624061626,15045.3741783073,2737.4840770332,0.0000000000,1136.0264127353,3125.4737119030,101.2058908471,100.3706082229,0.0000000000,39.6960524335,195.0488205110,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7419487590,0.2580512410,4083.0633682949,28.3000000000,25.7500000000,#REF!,0.7106138647,0.2893861353,0.0512725805,0.0628248086,0.8213449889,11.5250000000,0.0963333333,821483.5146899620,133222.0443682060,23.4125346756,6.6673468763,2.4962702003,0.0004300000,0.0351526591,Tort,Proportional Comparative Fault 51%,N,8373969.0000000000,293203.4600000000,28.5602666490
Indiana,IN,2011.0000000000,Q1,2011 Q1,540156.0000000000,44266891.0000000000,3266.0000000000,540156.0000000000,46230946.0000000000,17353.0000000000,0.0000000000,0.0000000000,0.0000000000,451186.0000000000,20991440.0000000000,16544.0000000000,427154.0000000000,72485940.0000000000,23761.0000000000,0.0060464014,0.0321259044,0.0000000000,0.0366678044,0.0556263081,13553.8551745254,2664.1471791621,0.0000000000,1268.8249516441,3050.6266571272,81.9520490377,85.5881375010,0.0000000000,46.5250251559,169.6950982550,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6133108659,0.3866891341,2078.4351876545,21.9000000000,26.5000000000,#REF!,0.7206283816,0.2793716184,0.0418157424,0.0668604651,0.9237845806,13.8025000000,0.0903333333,795546.3182481180,206053.0915294890,22.6279241114,7.6574522069,0.1360654845,0.0030500000,0.0383396749,Tort,Proportional Comparative Fault 51%,N,4472000.0000000000,202500.6520000000,22.0838795126
Iowa,IA,2011.0000000000,Q1,2011 Q1,313315.0000000000,18174770.0000000000,1478.0000000000,313315.0000000000,24715143.0000000000,9630.0000000000,0.0000000000,0.0000000000,0.0000000000,257223.0000000000,14246957.0000000000,11029.0000000000,248838.0000000000,34224866.0000000000,12320.0000000000,0.0047172973,0.0307358409,0.0000000000,0.0428771922,0.0495101231,12296.8673883627,2566.4738317757,0.0000000000,1291.7723275002,2777.9923701299,58.0079791903,78.8827314364,0.0000000000,55.3875703184,137.5387440825,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3959983689,0.6040016311,2126.4999711002,16.6000000000,21.9000000000,#REF!,0.7420462862,0.2579537138,0.0814964537,0.0749417693,0.8943754965,7.9575000000,0.0548333333,491089.2387130750,90218.4187371852,18.7060555047,6.4786399007,3.8578947262,0.0054200000,0.0410048292,Tort,Proportional Comparative Fault 51%,N,2191715.0000000000,234596.3960000000,9.3424922009
Kansas,KS,2011.0000000000,Q1,2011 Q1,340484.0000000000,21840435.0000000000,1085.0000000000,340484.0000000000,29847337.0000000000,10462.0000000000,340484.0000000000,10109611.0000000000,4305.0000000000,242009.0000000000,15570993.0000000000,11120.0000000000,251650.0000000000,40120727.0000000000,12325.0000000000,0.0031866402,0.0307268477,0.0126437659,0.0459487044,0.0489767534,20129.4331797235,2852.9284075703,2348.3416957027,1400.2691546763,3255.2313995943,64.1452608639,87.6614965755,29.6918827316,64.3405534505,159.4306656070,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5093114552,0.4906885448,2140.5400736546,17.7000000000,21.7000000000,#REF!,0.7716923140,0.2283076860,0.0732683610,0.0717251001,0.9179975528,6.0425000000,0.0642500000,525328.7859752350,57202.1977906573,26.0944190378,5.6305788976,2.7049509277,0.0056600000,0.0395703787,No-Fault,Proportional Comparative Fault 50%,C,2025581.0000000000,286632.4000000000,7.0668249647
Kentucky,KY,2011.0000000000,Q1,2011 Q1,592988.0000000000,72356079.0000000000,3864.0000000000,592988.0000000000,50315106.0000000000,17851.0000000000,592988.0000000000,42340659.0000000000,8810.0000000000,427757.0000000000,23374493.0000000000,22681.0000000000,386954.0000000000,63440833.0000000000,19103.0000000000,0.0065161521,0.0301034760,0.0148569617,0.0530230949,0.0493676251,18725.6933229814,2818.6155397457,4805.9771850170,1030.5759446233,3320.9879600063,122.0194658239,84.8501251290,71.4022189319,54.6443261010,163.9492885459,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4462143401,0.5537856599,2372.2031347411,20.0000000000,26.7000000000,#REF!,0.8642076750,0.1357923250,0.0284051960,0.0635714747,0.9257071755,16.0850000000,0.0933333333,767240.8508794490,194021.7414474140,26.7642700535,9.8086788731,1.8985955956,0.0077600000,0.0413564214,Choice No-Fault,Pure Comparative Fault,C,2959881.0000000000,165130.4350000000,17.9245031360
Louisiana,LA,2011.0000000000,Q1,2011 Q1,434589.0000000000,93024778.0000000000,6589.0000000000,434589.0000000000,53522718.0000000000,16684.0000000000,0.0000000000,0.0000000000,0.0000000000,341086.0000000000,21966469.0000000000,26155.0000000000,331072.0000000000,68895264.0000000000,20720.0000000000,0.0151614514,0.0383902952,0.0000000000,0.0766815407,0.0625845737,14118.1936560935,3208.0267321985,0.0000000000,839.8573504110,3325.0610038610,214.0523068923,123.1570932536,0.0000000000,64.4015556194,208.0975256138,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5723294685,0.4276705315,3868.5539765797,22.3000000000,30.8500000000,#REF!,0.4565578245,0.5434421755,0.0444619922,0.0709494333,0.9221894509,10.7525000000,0.0772500000,688328.4981663640,216607.5845719040,34.6073354347,3.5530287438,2.0244573469,0.0018900000,0.0369222963,Tort,Pure Comparative Fault,N,3186227.0000000000,130509.0680000000,24.4138361328
Maine,ME,2011.0000000000,Q1,2011 Q1,111833.0000000000,7732435.0000000000,530.0000000000,111833.0000000000,10484541.0000000000,4056.0000000000,0.0000000000,0.0000000000,0.0000000000,90723.0000000000,3164202.0000000000,4462.0000000000,82094.0000000000,15039015.0000000000,5284.0000000000,0.0047392094,0.0362683644,0.0000000000,0.0491826769,0.0643652398,14589.5000000000,2584.9460059172,0.0000000000,709.1443298969,2846.1421271764,69.1426949112,93.7517637907,0.0000000000,34.8776164809,183.1926206544,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2694018287,0.7305981713,2891.9098802278,19.8000000000,25.7000000000,#REF!,0.8113724533,0.1886275467,0.0394244925,0.0796136481,0.8867663836,12.5100000000,0.0789166667,600657.0625865220,257077.4079810860,27.9660720595,14.8508982719,1.8054173562,0.0057200000,0.0443828834,Tort,Proportional Comparative Fault 50%,N,1014826.0000000000,46883.0900000000,21.6458855421
Maryland,MD,2011.0000000000,Q1,2011 Q1,727397.0000000000,118350681.0000000000,9658.0000000000,727397.0000000000,95455454.0000000000,33449.0000000000,727397.0000000000,38490736.0000000000,18528.0000000000,610746.0000000000,40577475.0000000000,37111.0000000000,580291.0000000000,123871463.0000000000,45485.0000000000,0.0132774812,0.0459845174,0.0254716475,0.0607633943,0.0783830871,12254.1603851729,2853.7610690903,2077.4360967185,1093.4082886476,2723.3475431461,162.7043842633,131.2288255244,52.9157200263,66.4391989469,213.4643876951,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7953202018,0.2046797982,2846.9761880374,31.9000000000,33.7000000000,#REF!,0.7832202964,0.2167797036,0.0320097682,0.0569042090,0.8336427946,12.7750000000,0.0716666667,1089811.0657116900,385442.0077425110,25.2871965750,7.2104473095,1.7810049427,0.0045100000,0.0324725077,Tort,Pure Contributory Negligence,C,4079330.5000000000,70883.0530000000,57.5501523615
Massachusetts,MA,2011.0000000000,Q1,2011 Q1,185558.0000000000,25527931.0000000000,2696.0000000000,185558.0000000000,26827993.0000000000,10885.0000000000,185558.0000000000,5468746.0000000000,5415.0000000000,165887.0000000000,15128442.0000000000,22187.0000000000,156674.0000000000,49699638.0000000000,18542.0000000000,0.0145291499,0.0586609039,0.0291822503,0.1337476716,0.1183476518,9468.8171364985,2464.6755167662,1009.9253924284,681.8606391130,2680.3817279689,137.5738636976,144.5800935557,29.4718955798,91.1972728424,317.2168834650,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9324347032,0.0675652968,4271.5516089779,27.8000000000,30.1000000000,#REF!,0.8054456785,0.1945543215,0.0351291169,0.0693169683,0.8036642630,15.2050000000,0.0721666667,845597.1585833620,227283.0329070970,24.5622182448,5.2288017114,3.7086813095,0.0021100000,0.0320054254,No-Fault,Proportional Comparative Fault 51%,C,4683322.9696969700,76706.6210000000,61.0550029273
Michigan,MI,2011.0000000000,Q1,2011 Q1,903715.0000000000,39266087.0000000000,970.0000000000,903715.0000000000,7671092.0000000000,4704.0000000000,903715.0000000000,309536114.0000000000,11532.0000000000,808154.0000000000,50972483.0000000000,52619.0000000000,696575.0000000000,199009584.0000000000,64300.0000000000,0.0010733472,0.0052051808,0.0127606602,0.0651101152,0.0923087966,40480.5020618557,1630.7593537415,26841.4944502255,968.7086983789,3095.0168584759,43.4496351173,8.4883973377,342.5151889700,63.0727348995,285.6972816997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6890703326,0.3109296674,2476.5630703428,23.1000000000,26.7000000000,#REF!,0.6965714414,0.3034285586,0.0628916260,0.0702327881,0.9163742439,9.2050000000,0.1027500000,807853.3847714300,167484.5775024460,22.6499872377,3.0133628894,2.5153061777,0.0041700000,0.0366608641,No-Fault,Proportional Comparative Fault 51%,C,7059509.0000000000,256730.2550000000,27.4977680367
Minnesota,MN,2011.0000000000,Q1,2011 Q1,644791.0000000000,35694385.0000000000,1575.0000000000,644791.0000000000,61600856.0000000000,23658.0000000000,644791.0000000000,58764420.0000000000,10922.0000000000,567220.0000000000,30787545.0000000000,41081.0000000000,517129.0000000000,90288578.0000000000,32316.0000000000,0.0024426520,0.0366909588,0.0169388220,0.0724251613,0.0624911772,22663.1015873015,2603.8065770564,5380.3717267900,749.4351403325,2793.9280232702,55.3580695140,95.5361597789,91.1371591725,54.2779609323,174.5958513253,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5773194862,0.4226805138,3172.0188794433,21.9000000000,25.4000000000,#REF!,0.6274040810,0.3725959190,0.0501851253,0.0787816241,0.8703720119,6.0875000000,0.0640833333,713399.2167451120,100246.9224238550,21.8684337529,8.6799055815,2.4347126512,0.0074200000,0.0358427764,No-Fault,Proportional Comparative Fault 51%,C,3306139.0000000000,284877.3010000000,11.6054841449
Mississippi,MS,2011.0000000000,Q1,2011 Q1,238583.0000000000,26942908.0000000000,1787.0000000000,238583.0000000000,19379386.0000000000,6544.0000000000,0.0000000000,0.0000000000,0.0000000000,182367.0000000000,16711990.0000000000,13454.0000000000,176640.0000000000,32022342.0000000000,9782.0000000000,0.0074900559,0.0274286098,0.0000000000,0.0737743122,0.0553781703,15077.1729155008,2961.3976161369,0.0000000000,1242.1577226104,3273.5986505827,112.9288675220,81.2270195278,0.0000000000,91.6393316773,181.2859035326,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4212770087,0.5787229913,2385.7550347288,19.7000000000,27.4000000000,#REF!,0.7617858196,0.2382141804,0.0634713016,0.0641792834,0.9435770782,13.2100000000,0.0989166667,673962.5861713800,170064.0689188470,22.0157557031,2.7916855847,0.9290947074,0.0058400000,0.0422871851,Tort,Pure Comparative Fault,N,1926603.0000000000,156492.4620000000,12.3111552811
Missouri,MO,2011.0000000000,Q1,2011 Q1,623929.0000000000,64316208.0000000000,4728.0000000000,623929.0000000000,56808678.0000000000,21337.0000000000,0.0000000000,0.0000000000,0.0000000000,488658.0000000000,28458763.0000000000,24537.0000000000,488012.0000000000,84476892.0000000000,26379.0000000000,0.0075777853,0.0341978014,0.0000000000,0.0502130324,0.0540539987,13603.2588832487,2662.4491727984,0.0000000000,1159.8305823858,3202.4296599568,103.0825751007,91.0499079222,0.0000000000,58.2386106438,173.1041285870,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5763030683,0.4236969317,3198.6354973008,21.6000000000,26.3000000000,#REF!,0.8939214535,0.1060785465,0.0499740825,0.0679161765,0.9111764934,11.4250000000,0.0833333333,749422.7351959620,132516.8492996140,21.3402612875,7.6182136459,3.6640477641,0.0068800000,0.0379118670,Tort,Pure Comparative Fault,N,4277037.0000000000,272838.8400000000,15.6760562389
Montana,MT,2011.0000000000,Q1,2011 Q1,105649.0000000000,8433806.0000000000,624.0000000000,105649.0000000000,8363540.0000000000,3165.0000000000,0.0000000000,0.0000000000,0.0000000000,75412.0000000000,6044180.0000000000,4727.0000000000,70276.0000000000,12069180.0000000000,3593.0000000000,0.0059063503,0.0299576901,0.0000000000,0.0626823317,0.0511269850,13515.7147435897,2642.5086887836,0.0000000000,1278.6503067485,3359.0815474534,79.8285454666,79.1634563507,0.0000000000,80.1487826871,171.7397119927,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2996092212,0.7003907788,2689.8444097820,15.0000000000,22.0000000000,#REF!,0.8227583945,0.1772416055,0.0505858604,0.0653117745,0.8620715295,5.7125000000,0.0693333333,516470.4685474330,55919.8384800719,41.1685717693,10.4143384066,4.7574538728,0.0056500000,0.0427033704,Tort,Proportional Comparative Fault 51%,N,752483.0000000000,152799.2210000000,4.9246520701
